Date,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Mainland China,Thailand,Japan,South Korea,Taiwan,US,US,US,Macau,Hong Kong,Singapore,Vietnam,France,Nepal,Malaysia,Canada,Canada,US,US,Australia,Australia,Australia,Cambodia,Sri Lanka,Germany,Finland,United Arab Emirates,Philippines,India,Canada,Italy,UK,Russia,Sweden,US,Spain,Australia,US,US,Belgium,US,Others,US,US,Egypt,Iran,US,US,Australia,US,Lebanon,US,US,Iraq,US,Oman,Afghanistan,Bahrain,Kuwait,Algeria,Croatia,Switzerland,Austria,Israel,Pakistan,Brazil,Georgia,Greece,North Macedonia,Norway,Romania,Denmark,Estonia,Netherlands,San Marino,Belarus,Canada,Iceland,Lithuania,Mexico,New Zealand,Nigeria,Australia,Ireland,Luxembourg,Monaco,Qatar,US,Ecuador,Azerbaijan,Czech Republic,Armenia,Dominican Republic,US,Indonesia,Portugal,Andorra,Australia,Latvia,Morocco,Saudi Arabia,Senegal,US,US,US,US,US,US,US,US,US,US,Argentina,Chile,Jordan,US,US,US,US,US,Ukraine,Total recovered
9-Feb,72,37,51,35,16,141,18,7,19,34,14,153,1795,186,5,71,73,12,12,13,3,25,63,44,25,71,4,0,0,18,201,10,1,3,1,1,2,0,1,0,2,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3244
10-Feb,88,44,66,39,17,167,24,10,19,41,30,191,2222,208,5,81,105,13,13,13,3,30,66,48,25,80,8,0,0,19,242,10,4,3,1,1,2,0,1,0,2,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3946
11-Feb,105,48,79,45,24,212,33,17,20,48,28,218,2639,247,5,93,128,18,19,22,5,32,80,52,30,85,10,0,3,20,270,10,9,3,1,1,2,0,1,0,9,6,0,0,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4683
12-Feb,127,56,102,53,31,275,32,18,27,54,31,246,2686,304,6,125,152,22,20,24,9,43,92,57,33,92,11,1,3,26,321,10,9,7,1,1,2,0,2,1,15,6,2,1,3,0,0,0,0,2,0,0,1,1,0,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5150
13-Feb,157,69,128,57,39,314,33,27,30,68,33,296,3459,339,6,139,170,24,22,24,11,46,105,62,36,104,21,1,6,27,360,12,9,7,1,1,2,0,3,1,15,7,2,1,3,0,0,0,0,4,4,0,1,1,1,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6295
14-Feb,193,80,152,63,39,362,36,28,43,87,47,357,4774,364,6,157,187,25,29,24,11,54,136,90,38,114,31,1,6,36,403,12,9,7,2,1,2,0,3,1,17,7,2,1,3,0,0,0,0,4,4,0,1,1,1,1,1,1,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8058
15-Feb,221,98,184,71,49,410,44,41,39,101,68,391,5623,425,7,186,210,26,31,33,13,60,156,124,46,119,37,1,10,42,428,12,12,9,2,1,2,0,3,1,18,7,4,1,7,0,0,0,0,4,4,0,1,1,1,1,3,1,0,1,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9395
16-Feb,255,108,207,82,54,465,49,46,52,105,79,440,6639,464,8,218,240,30,40,33,13,71,173,140,50,131,45,1,12,42,456,14,12,9,2,1,2,0,5,2,18,7,4,1,7,0,0,0,0,4,4,0,1,1,1,1,4,1,3,1,0,8,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10865
17-Feb,280,114,225,90,58,524,53,57,59,122,85,509,7862,498,8,258,275,34,43,35,13,79,191,161,53,156,46,1,12,47,507,15,12,10,2,1,2,0,5,2,24,7,4,1,7,0,0,0,0,4,4,0,1,1,1,1,4,1,3,1,0,8,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12583
18-Feb,361,122,254,93,62,565,69,66,79,136,111,522,9128,527,8,280,310,36,53,42,15,89,211,177,61,169,48,1,12,57,535,15,13,12,2,1,2,0,5,2,29,7,4,1,13,0,0,0,0,4,4,0,1,1,12,1,4,1,3,1,0,8,2,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14352
19-Feb,413,145,274,112,65,606,86,70,84,152,120,573,10337,561,10,318,362,37,55,42,16,102,231,186,68,188,54,1,20,60,604,15,18,12,2,1,2,0,5,5,34,7,4,1,15,0,0,0,0,4,4,0,1,1,12,1,4,1,3,1,0,8,2,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16121
20-Feb,474,153,299,126,71,642,90,72,86,169,136,637,11788,634,16,356,433,43,59,44,16,118,254,199,76,217,59,1,22,79,633,15,18,16,2,1,2,0,6,6,34,7,4,1,15,0,0,0,0,4,4,0,1,1,12,1,4,1,3,1,0,8,2,0,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18177
21-Feb,539,169,316,149,76,690,97,77,95,184,175,736,11881,661,17,373,489,45,61,48,18,134,281,211,78,231,62,1,24,96,679,17,22,16,2,1,2,0,6,5,37,14,4,1,15,2,0,0,0,4,4,1,1,1,14,1,4,1,3,1,0,8,2,0,1,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18890
22-Feb,597,178,328,162,76,728,104,90,104,203,204,830,15299,692,26,401,555,52,66,48,18,149,302,227,81,250,65,1,25,107,719,17,22,16,2,1,2,0,6,6,37,14,4,1,15,2,0,0,0,4,4,1,1,1,14,1,4,1,3,1,1,8,2,0,1,2,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22886
23-Feb,637,189,335,170,78,755,106,102,106,219,222,868,15343,714,27,418,613,54,73,56,18,163,321,249,88,261,81,1,28,115,760,21,22,18,2,1,2,0,6,11,51,14,4,1,15,2,0,0,0,4,4,1,1,1,14,1,4,1,3,1,2,8,2,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23394
24-Feb,663,198,349,183,80,786,112,102,116,234,227,943,16748,731,34,452,645,60,80,58,18,173,343,261,94,276,87,1,30,124,782,21,22,18,5,1,2,0,6,19,51,14,4,1,18,2,0,0,0,4,4,1,1,1,14,1,4,1,3,1,1,8,2,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25227
25-Feb,712,215,372,199,80,822,134,104,124,248,243,1002,18971,768,35,458,683,63,83,61,18,186,355,268,98,289,91,1,30,129,808,22,22,22,5,1,2,1,7,19,53,16,11,1,18,2,0,0,0,4,4,1,1,1,14,1,4,1,3,1,1,8,2,0,1,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27905
26-Feb,744,235,384,218,81,851,147,104,129,261,249,1033,20969,783,38,478,719,65,88,65,18,192,377,272,104,307,96,1,34,144,867,22,22,22,5,1,2,1,7,24,62,16,11,1,18,2,0,0,0,4,4,1,1,1,15,1,4,1,3,1,3,8,2,0,1,2,2,0,0,1,0,10,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30384
27-Feb,792,248,401,228,81,890,161,112,131,274,270,1068,23383,804,43,498,754,67,93,68,18,195,387,276,107,321,102,1,43,150,932,22,22,22,5,1,2,1,8,24,62,16,11,1,18,2,3,0,0,4,4,1,1,1,16,1,4,1,3,1,45,8,2,0,1,2,2,0,0,1,0,10,1,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33277
28-Feb,821,257,422,235,82,935,168,112,133,277,283,1112,26403,830,45,515,790,73,93,68,18,199,405,279,112,338,102,1,52,156,975,28,22,22,6,1,2,1,8,30,62,16,11,1,18,2,3,0,0,4,4,1,1,1,16,1,5,1,3,1,46,8,2,0,1,2,2,1,0,1,0,10,1,0,1,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36711
29-Feb,868,271,438,243,82,983,176,112,148,282,301,1170,28993,846,49,523,811,75,96,69,18,207,421,287,114,351,109,1,62,157,1016,28,32,27,9,1,2,1,8,33,72,16,12,1,18,2,3,0,0,4,4,1,1,1,16,1,5,1,3,1,46,8,2,0,1,2,2,1,0,1,0,10,1,0,1,123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39782
1-Mar,873,276,450,247,84,1016,181,112,149,294,342,1198,31536,866,52,536,831,78,103,69,18,208,443,290,116,365,111,1,64,163,1046,28,32,30,9,1,2,1,8,36,72,16,12,1,18,2,3,0,0,4,4,1,1,1,16,1,5,1,3,1,83,8,2,0,1,2,2,1,0,1,0,10,1,0,1,175,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42716
2-Mar,917,282,469,255,85,1059,192,114,151,296,356,1205,33934,887,54,543,850,83,103,69,18,216,460,292,119,386,111,1,66,168,1069,31,32,30,12,1,2,1,8,36,78,16,12,1,18,2,3,0,0,4,4,1,1,1,16,1,5,1,3,1,149,8,2,0,1,2,2,1,0,1,0,10,1,0,1,291,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45602
3-Mar,936,288,490,260,86,1101,202,114,155,300,366,1231,36208,906,59,562,870,83,106,69,18,216,511,294,124,394,124,1,68,169,1093,31,43,30,12,1,2,1,9,37,78,16,12,1,22,2,3,0,0,4,4,1,1,1,16,1,5,1,3,1,160,8,2,0,1,2,2,1,0,1,1,10,1,0,1,291,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48229
